,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
0,Dairy-Free Main Dishes,Country Style Fried Potatoes,https://www.allrecipes.com/recipe/20749/country-style-fried-potatoes/,10 m,15 m,25 m,Original recipe yields 6 servings,326  cals,11.7 ,52.1,4.8 ,0 ,400 ,"1/3 cup shortening;6 large potatoes, peeled and cubed;1 teaspoon salt;1/2 teaspoon ground black pepper;1/2 teaspoon garlic powder;1/2 teaspoon paprika",1
1,Dairy-Free Main Dishes,Loosemeat Sandwiches III,https://www.allrecipes.com/recipe/19928/loosemeat-sandwiches-iii/,40 m,40 m,,Original recipe yields 8 servings,356  cals,16.3 ,24.2,26.6 ,74 ,995 ,"2 pounds lean ground beef;1 teaspoon salt;1/2 teaspoon ground black pepper;1 1/2 cups water;1 onion, chopped;24 slices dill pickle slices;4 ounces prepared mustard;8 hamburger buns",2
2,Dairy-Free Main Dishes,Not Red Spaghetti Sauce,https://www.allrecipes.com/recipe/19396/not-red-spaghetti-sauce/,,,,,,,,,,,,0
3,Dairy-Free Main Dishes,Oriental Shrimp Noodle Soup,https://www.allrecipes.com/recipe/25760/oriental-shrimp-noodle-soup/,15 m,15 m,30 m,Original recipe yields 6 servings,139  cals,2.3 ,18.2,11.2 ,85 ,436 ,"2 teaspoons vegetable oil;1 onion, chopped;2 cloves garlic, minced;1 tablespoon minced fresh ginger root;1 pinch crushed red pepper;2 quarts chicken broth;1 cup peeled, diagonally sliced carrots;1 cup diagonally sliced celery;2 cups snow peas;12 ounces fresh shrimp, peeled and deveined;4 ounces rice vermicelli;2 tablespoons soy sauce;1/4 teaspoon ground black pepper",1
4,Dairy-Free Main Dishes,Veggie Pot Pie,https://www.allrecipes.com/recipe/16765/veggie-pot-pie/,30 m,1 h,1 h 30 m,Original recipe yields 6 servings,469  cals,25 ,54.4,8.4 ,0 ,1198 ,"2 tablespoons olive oil;1 onion, chopped;8 ounces mushrooms;1 clove garlic, minced;2 large carrots, diced;2 potatoes, peeled and diced;2 stalks celery, sliced 1/4 inch wide;2 cups cauliflower florets;1 cup fresh green beans, trimmed and snapped into 1/2 inch pieces;3 cups vegetable broth;1 teaspoon kosher salt;1 teaspoon ground black pepper;2 tablespoons cornstarch;2 tablespoons soy sauce;1 recipe pastry for double-crust pie",5
5,Dairy-Free Main Dishes,Blackened Tuna Steaks with Mango Salsa,https://www.allrecipes.com/recipe/103535/blackened-tuna-steaks-with-mango-salsa/,45 m,10 m,3 h 55 m,Original recipe yields 4 servings (4 steaks),458  cals,24.7 ,18.3,42.1 ,77 ,1233 ,"2 tablespoons olive oil;2 tablespoons lime juice;2 cloves garlic, minced;4 tuna steaks;1 fresh mango - peeled, pitted, and chopped;1/4 cup finely chopped red bell pepper;1/2 Spanish onion, finely chopped;1 green onion, chopped;2 tablespoons chopped fresh cilantro;1 jalapeno pepper, seeded and minced;2 tablespoons lime juice;1 1/2 teaspoons olive oil;2 tablespoons paprika;1 tablespoon cayenne pepper;1 tablespoon onion powder;2 teaspoons salt;1 teaspoon ground black pepper;1 teaspoon dried thyme;1 teaspoon dried basil;1 teaspoon dried oregano;1 tablespoon garlic powder;4 tablespoons olive oil",5
6,Dairy-Free Main Dishes,Roasted Rack of Lamb,https://www.allrecipes.com/recipe/45641/roasted-rack-of-lamb/,20 m,20 m,40 m,Original recipe yields 4 servings (4 Servings),481  cals,40.8 ,5.6,22.2 ,94 ,1369 ,"1/2 cup fresh bread crumbs;2 tablespoons minced garlic;2 tablespoons chopped fresh rosemary;1 teaspoon salt;1/4 teaspoon black pepper;2 tablespoons olive oil;1 (7 bone) rack of lamb, trimmed and frenched;1 teaspoon salt;1 teaspoon black pepper;2 tablespoons olive oil;1 tablespoon Dijon mustard",4
7,Dairy-Free Main Dishes,Marinated Grilled Shrimp,https://www.allrecipes.com/recipe/21694/marinated-grilled-shrimp/,15 m,6 m,55 m,Original recipe yields 6 servings,273  cals,14.7 ,2.8,31 ,230 ,472 ,"3 cloves garlic, minced;1/3 cup olive oil;1/4 cup tomato sauce;2 tablespoons red wine vinegar;2 tablespoons chopped fresh basil;1/2 teaspoon salt;1/4 teaspoon cayenne pepper;2 pounds fresh shrimp, peeled and deveined;skewers",3
8,Dairy-Free Main Dishes,Vegan-Friendly Falafel,https://www.allrecipes.com/recipe/148509/vegan-friendly-falafel/,25 m,1 d 2 h 25 m,,Original recipe yields 10 servings (30 servings),245  cals,8.7 ,33.8,9.6 ,0 ,731 ,"1 pound dry garbanzo beans;1 onion, quartered;1 potato, peeled and quartered;4 cloves garlic, minced;1/2 cup cilantro leaves, chopped;1 teaspoon ground coriander;1 teaspoon ground cumin;2 teaspoons salt;1/2 teaspoon ground black pepper;1/2 teaspoon cayenne pepper;2 teaspoons fresh lemon juice;1 tablespoon olive oil;1 tablespoon all-purpose flour;2 teaspoons baking soda;2 cups canola oil",4
9,Dairy-Free Main Dishes,Grilled Salmon I,https://www.allrecipes.com/recipe/12720/grilled-salmon-i/,15 m,16 m,2 h 31 m,Original recipe yields 6 servings,318  cals,20.1 ,13.2,20.5 ,56 ,1092 ,1 1/2 pounds salmon fillets;lemon pepper to taste;garlic powder to taste;salt to taste;1/3 cup soy sauce;1/3 cup brown sugar;1/3 cup water;1/4 cup vegetable oil,4
10,Dairy-Free Main Dishes,Braised Balsamic Chicken,https://www.allrecipes.com/recipe/8665/braised-balsamic-chicken/,,,,,,,,,,,,0
11,Dairy-Free Main Dishes,Salisbury Steak,https://www.allrecipes.com/recipe/14595/salisbury-steak/,20 m,20 m,40 m,Original recipe yields 6 servings,440  cals,32.3 ,14.1,23 ,127 ,818 ,1 (10.5 ounce) can condensed French onion soup;1 1/2 pounds ground beef;1/2 cup dry bread crumbs;1 egg;1/4 teaspoon salt;1/8 teaspoon ground black pepper;1 tablespoon all-purpose flour;1/4 cup ketchup;1/4 cup water;1 tablespoon Worcestershire sauce;1/2 teaspoon mustard powder,3
12,Dairy-Free Main Dishes,"Sweet, Sticky and Spicy Chicken",https://www.allrecipes.com/recipe/143082/sweet-sticky-and-spicy-chicken/,,,,,,,,,,,,0
13,Dairy-Free Main Dishes,BBQ Pork for Sandwiches,https://www.allrecipes.com/recipe/21174/bbq-pork-for-sandwiches/,15 m,4 h 30 m,4 h 45 m,Original recipe yields 12 servings,355  cals,18.1 ,15.2,30.2 ,83 ,623 ,1 (14 ounce) can beef broth;3 pounds boneless pork ribs;1 (18 ounce) bottle barbeque sauce,3
14,Dairy-Free Main Dishes,Yummy Honey Chicken Kabobs,https://www.allrecipes.com/recipe/8626/yummy-honey-chicken-kabobs/,,,,,,,,,,,,0
15,Dairy-Free Main Dishes,Baked Honey Mustard Chicken,https://www.allrecipes.com/recipe/8847/baked-honey-mustard-chicken/,,,,,,,,,,,,0
16,Dairy-Free Main Dishes,Chicken Fried Chicken,https://www.allrecipes.com/recipe/16573/chicken-fried-chicken/,,,,,,,,,,,,0
17,Dairy-Free Main Dishes,Unbelievable Chicken,https://www.allrecipes.com/recipe/30522/unbelievable-chicken/,,,,,,,,,,,,0
18,Dairy-Free Main Dishes,Marie's Easy Slow Cooker Pot Roast,https://www.allrecipes.com/recipe/16346/maries-easy-slow-cooker-pot-roast/,40 m,9 h,9 h 40 m,Original recipe yields 8 servings (6 to 8 servings),540  cals,30.6 ,18.2,45.7 ,147 ,272 ,"4 pounds chuck roast;salt and pepper to taste;1 packet dry onion soup mix;1 cup water;3 carrots, chopped;1 onion, chopped;3 potatoes, peeled and cubed;1 stalk celery, chopped",3
19,Dairy-Free Main Dishes,Baked Slow Cooker Chicken,https://www.allrecipes.com/recipe/8647/baked-slow-cooker-chicken/,,,,,,,,,,,,0
20,Dairy-Free Main Dishes,Stuffed Peppers,https://www.allrecipes.com/recipe/16330/stuffed-peppers/,20 m,1 h,1 h 20 m,Original recipe yields 6 servings,248  cals,9.4 ,25.6,16 ,46 ,564 ,1 pound ground beef;1/2 cup uncooked long grain white rice;1 cup water;6 green bell peppers;2 (8 ounce) cans tomato sauce;1 tablespoon Worcestershire sauce;1/4 teaspoon garlic powder;1/4 teaspoon onion powder;salt and pepper to taste;1 teaspoon Italian seasoning,5
21,Dairy-Free Main Dishes,Cabbage Roll Casserole,https://www.allrecipes.com/recipe/14690/cabbage-roll-casserole/,10 m,1 h 30 m,1 h 40 m,Original recipe yields 12 servings,352  cals,20.6 ,25.5,17.1 ,64 ,840 ,2 pounds ground beef;1 cup chopped onion;1 (29 ounce) can tomato sauce;3 1/2 pounds chopped cabbage;1 cup uncooked white rice;1 teaspoon salt;2 (14 ounce) cans beef broth,3
22,Dairy-Free Main Dishes,Grilled Marinated Shrimp,https://www.allrecipes.com/recipe/19484/grilled-marinated-shrimp/,30 m,10 m,2 h 40 m,Original recipe yields 6 servings,447  cals,37.5 ,3.7,25.3 ,230 ,800 ,"1 cup olive oil;1/4 cup chopped fresh parsley;1 lemon, juiced;2 tablespoons hot pepper sauce;3 cloves garlic, minced;1 tablespoon tomato paste;2 teaspoons dried oregano;1 teaspoon salt;1 teaspoon ground black pepper;2 pounds large shrimp, peeled and deveined with tails attached;skewers",3
23,Dairy-Free Main Dishes,Vegetarian Chickpea Sandwich Filling,https://www.allrecipes.com/recipe/16715/vegetarian-chickpea-sandwich-filling/,20 m,20 m,,Original recipe yields 3 servings (2 to 3 servings),259  cals,5.8 ,43.5,9.3 ,2 ,576 ,"1 (19 ounce) can garbanzo beans, drained and rinsed;1 stalk celery, chopped;1/2 onion, chopped;1 tablespoon mayonnaise;1 tablespoon lemon juice;1 teaspoon dried dill weed;salt and pepper to taste",1
24,Dairy-Free Main Dishes,Barbecued Beef,https://www.allrecipes.com/recipe/14646/barbecued-beef/,20 m,10 h,10 h 20 m,Original recipe yields 12 servings,276  cals,16.2 ,13.5,18.7 ,65 ,562 ,1 1/2 cups ketchup;1/4 cup packed brown sugar;1/4 cup red wine vinegar;2 tablespoons prepared Dijon-style mustard;2 tablespoons Worcestershire sauce;1 teaspoon liquid smoke flavoring;1/2 teaspoon salt;1/4 teaspoon ground black pepper;1/4 teaspoon garlic powder;1 (4 pound) boneless chuck roast,3
25,Dairy-Free Main Dishes,Kung Pao Chicken,https://www.allrecipes.com/recipe/9027/kung-pao-chicken/,,,,,,,,,,,,0
26,Dairy-Free Main Dishes,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs,https://www.allrecipes.com/recipe/35753/scott-hibbs-amazing-whisky-grilled-baby-back-ribs/,20 m,2 h 40 m,3 h,Original recipe yields 4 servings,1043  cals,68.5 ,54.7,50.7 ,234 ,1720 ,2 (2 pound) slabs baby back pork ribs;coarsely ground black pepper;1 tablespoon ground red chile pepper;2 1/4 tablespoons vegetable oil;1/2 cup minced onion;1 1/2 cups water;1/2 cup tomato paste;1/2 cup white vinegar;1/2 cup brown sugar;2 1/2 tablespoons honey;2 tablespoons Worcestershire sauce;2 teaspoons salt;1/4 teaspoon coarsely ground black pepper;1 1/4 teaspoons liquid smoke flavoring;2 teaspoons whiskey;2 teaspoons garlic powder;1/4 teaspoon paprika;1/2 teaspoon onion powder;1 tablespoon dark molasses;1/2 tablespoon ground red chile pepper,5
27,Dairy-Free Main Dishes,Asian Beef with Snow Peas,https://www.allrecipes.com/recipe/15679/asian-beef-with-snow-peas/,5 m,10 m,15 m,Original recipe yields 4 servings,203  cals,10 ,9.7,16 ,39 ,711 ,"3 tablespoons soy sauce;2 tablespoons rice wine;1 tablespoon brown sugar;1/2 teaspoon cornstarch;1 tablespoon vegetable oil;1 tablespoon minced fresh ginger root;1 tablespoon minced garlic;1 pound beef round steak, cut into thin strips;8 ounces snow peas",2
28,Dairy-Free Side Dishes,Fried Rice I,https://www.allrecipes.com/recipe/18286/fried-rice-i/,10 m,30 m,40 m,Original recipe yields 4 servings,516  cals,20.7 ,63.5,17.3 ,159 ,968 ,"1 1/3 cups uncooked white rice;1 2/3 cups water;3 eggs, lightly beaten;1/4 teaspoon salt;1/8 teaspoon ground black pepper;3 teaspoons vegetable oil, divided;1/4 pound bacon, cut into strips;1/8 cup soy sauce;1 (10 ounce) package frozen green peas, thawed;2 green onions, chopped",4
