,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
0,Low-Carb Main Dishes,Oxtails with Gravy,https://www.allrecipes.com/recipe/89612/oxtails-with-gravy/,10 m,3 h 30 m,3 h 40 m,Original recipe yields 6 servings,433  cals,25.1 ,5,46.8 ,171 ,1848 ,"2 pounds beef oxtail;1 clove garlic, minced;1 onion, chopped;1 tablespoon salt;1 teaspoon pepper;1 tablespoon Greek seasoning;1 teaspoon seasoning salt;2 tablespoons bacon drippings or shortening;2 tablespoons all-purpose flour;2 cups broth from cooked oxtails;2 dashes browning sauce;salt and pepper to taste;garlic powder to taste",3
1,Low-Carb Main Dishes,Canadian Cedar Planked Salmon,https://www.allrecipes.com/recipe/27253/canadian-cedar-planked-salmon/,25 m,15 m,12 h 40 m,Original recipe yields 6 servings,388  cals,30.9 ,4.6,22.8 ,66 ,68 ,"24x8x1 inch untreated cedar plank;6 (4 ounce) fillets salmon;1/2 cup extra virgin olive oil;1 large red onion, chopped;1 lemon, sliced;1/2 tablespoon black peppercorns, crushed",4
2,Low-Carb Main Dishes,Chicken Cordon Bleu II,https://www.allrecipes.com/recipe/8669/chicken-cordon-bleu-ii/,,,,,,,,,,,,0
3,Low-Carb Main Dishes,Portuguese Pork with Red Peppers,https://www.allrecipes.com/recipe/50054/portuguese-pork-with-red-peppers/,35 m,25 m,3 h,Original recipe yields 8 servings,211  cals,7.6 ,6.7,24.3 ,74 ,423 ,"4 large cloves garlic, peeled;1 1/2 teaspoons coarse salt;2 tablespoons olive oil;1 tablespoon whole black peppercorns;2 pounds pork tenderloin, cut into 1 inch medallions;2 red bell peppers, julienned;1 cup white wine;2 lemons",5
4,Low-Carb Main Dishes,Spinach Pie V,https://www.allrecipes.com/recipe/29932/spinach-pie-v/,20 m,40 m,1 h,Original recipe yields 8 servings,227  cals,14.3 ,6.7,18.4 ,63 ,526 ,"1 (10 ounce) package frozen chopped spinach, thawed and squeezed dry;1 (12 ounce) container small curd cottage cheese;3/4 cup grated Parmesan cheese;2 cups shredded Monterey Jack cheese;1 egg, lightly beaten;1/2 cup chopped onion;2 sheets frozen phyllo pastry, thawed",3
5,Low-Carb Main Dishes,Simple BBQ Ribs,https://www.allrecipes.com/recipe/16448/simple-bbq-ribs/,30 m,1 h 30 m,2 h,Original recipe yields 4 servings,441  cals,22.2 ,24.5,33.3 ,128 ,4260 ,2 1/2 pounds country style pork ribs;1 tablespoon garlic powder;1 teaspoon ground black pepper;2 tablespoons salt;1 cup barbeque sauce,3
6,Low-Carb Main Dishes,Slow Cooker Beef Pot Roast,https://www.allrecipes.com/recipe/220125/slow-cooker-beef-pot-roast/,20 m,6 h 30 m,6 h 50 m,Original recipe yields 8 servings,778  cals,57.3 ,7.6,54.6 ,198 ,602 ,"1 (5 pound) bone-in beef pot roast;salt and pepper to taste;1 tablespoon all-purpose flour, or as needed;2 tablespoons vegetable oil;8 ounces sliced mushrooms;1 medium onion, chopped;2 cloves garlic, minced;1 tablespoon butter;1 1/2 tablespoons all-purpose flour;1 tablespoon tomato paste;2 1/2 cups chicken broth;3 medium carrots, cut into chunks;2 stalks celery, cut into chunks;1 sprig fresh rosemary;2 sprigs fresh thyme",9
7,Low-Carb Main Dishes,Rosemary Roasted Turkey,https://www.allrecipes.com/recipe/13525/rosemary-roasted-turkey/,25 m,4 h,4 h 45 m,Original recipe yields 16 servings (1 (12 pound) turkey),596  cals,33.7 ,0.8,68.1 ,198 ,165 ,3/4 cup olive oil;3 tablespoons minced garlic;2 tablespoons chopped fresh rosemary;1 tablespoon chopped fresh basil;1 tablespoon Italian seasoning;1 teaspoon ground black pepper;salt to taste;1 (12 pound) whole turkey,5
8,Low-Carb Main Dishes,Grilled Marinated Shrimp,https://www.allrecipes.com/recipe/19484/grilled-marinated-shrimp/,30 m,10 m,2 h 40 m,Original recipe yields 6 servings,447  cals,37.5 ,3.7,25.3 ,230 ,800 ,"1 cup olive oil;1/4 cup chopped fresh parsley;1 lemon, juiced;2 tablespoons hot pepper sauce;3 cloves garlic, minced;1 tablespoon tomato paste;2 teaspoons dried oregano;1 teaspoon salt;1 teaspoon ground black pepper;2 pounds large shrimp, peeled and deveined with tails attached;skewers",3
9,Low-Carb Main Dishes,Broiled Tilapia Parmesan,https://www.allrecipes.com/recipe/50644/broiled-tilapia-parmesan/,5 m,10 m,15 m,Original recipe yields 8 servings,224  cals,12.8 ,0.8,25.4 ,63 ,220 ,"1/2 cup Parmesan cheese;1/4 cup butter, softened;3 tablespoons mayonnaise;2 tablespoons fresh lemon juice;1/4 teaspoon dried basil;1/4 teaspoon ground black pepper;1/8 teaspoon onion powder;1/8 teaspoon celery salt;2 pounds tilapia fillets",3
10,Low-Carb Main Dishes,Awesome Slow Cooker Pot Roast,https://www.allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/,10 m,8 h,8 h 10 m,Original recipe yields 12 servings,426  cals,23.7 ,4.9,45.6 ,127 ,639 ,2 (10.75 ounce) cans condensed cream of mushroom soup;1 (1 ounce) package dry onion soup mix;1 1/4 cups water;5 1/2 pounds pot roast,2
11,Low-Carb Main Dishes,Garlic Chicken,https://www.allrecipes.com/recipe/8652/garlic-chicken/,,,,,,,,,,,,0
12,Low-Carb Main Dishes,Braised Balsamic Chicken,https://www.allrecipes.com/recipe/8665/braised-balsamic-chicken/,,,,,,,,,,,,0
13,Low-Carb Main Dishes,Rosemary Ranch Chicken Kabobs,https://www.allrecipes.com/recipe/64513/rosemary-ranch-chicken-kabobs/,,,,,,,,,,,,0
14,Low-Carb Main Dishes,Roast Sticky Chicken-Rotisserie Style,https://www.allrecipes.com/recipe/45954/roast-sticky-chicken-rotisserie-style/,,,,,,,,,,,,0
15,Low-Carb Main Dishes,Slow Cooker Chicken Stroganoff,https://www.allrecipes.com/recipe/17227/slow-cooker-chicken-stroganoff/,,,,,,,,,,,,0
16,Low-Carb Main Dishes,Slow Cooker Beef Stroganoff I,https://www.allrecipes.com/recipe/16352/slow-cooker-beef-stroganoff-i/,10 m,8 h,8 h 10 m,Original recipe yields 4 servings,376  cals,27.3 ,9.5,22 ,97 ,711 ,1 pound cubed beef stew meat;1 (10.75 ounce) can condensed golden mushroom soup;1/2 cup chopped onion;1 tablespoon Worcestershire sauce;1/4 cup water;4 ounces cream cheese,2
