,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
0,Lima Bean Recipes,Pan-Fried Butter Beans ,https://www.allrecipes.com/recipe/239544/pan-fried-butter-beans/,10 m,15 m,25 m,Original recipe yields 4 servings,167  cals,10.2 ,13.9,5.1 ,0 ,373 ,"3 tablespoons olive oil;1 (15 ounce) can butter beans - drained, rinsed, and patted dry;2 cloves garlic, peeled and bruised, or more to taste;2 sprigs fresh rosemary;1 pinch red pepper flakes, or more to taste;salt and ground black pepper to taste;1 tablespoon white wine vinegar",1
1,Lima Bean Recipes,Brunswick Stew,https://www.allrecipes.com/recipe/16384/brunswick-stew/,1 h,2 h,3 h,Original recipe yields 12 servings,368  cals,17.1 ,25.9,27.9 ,71 ,496 ,"4 ounces diced salt pork;2 pounds chicken parts;8 cups water;3 potatoes, cubed;3 onions, chopped;1 (28 ounce) can whole peeled tomatoes, chopped;2 cups canned whole kernel corn;1 (10 ounce) package frozen lima beans;1 tablespoon Worcestershire sauce;1/2 teaspoon salt;1/4 teaspoon ground black pepper",3
2,Lima Bean Recipes,Easy Lima Beans,https://www.allrecipes.com/recipe/46990/easy-lima-beans/,15 m,30 m,45 m,Original recipe yields 6 servings,84  cals,0 ,15.9,4.1 ,0 ,132 ,"cooking spray;1/2 medium onion, finely chopped;1 1/2 cups chicken broth;1 (16 ounce) package frozen baby lima beans",1
3,Lima Bean Recipes,Southern Style Beef Stew,https://www.allrecipes.com/recipe/69377/southern-style-beef-stew/,10 m,1 h 30 m,1 h 40 m,Original recipe yields 10 servings,373  cals,15.2 ,36.8,23.8 ,62 ,488 ,"1 tablespoon butter;1 1/2 pounds beef stew meat, cut into 1/2 inch pieces;1 (10 ounce) can diced tomatoes and green chiles;3 (14.5 ounce) cans stewed, diced tomatoes;1 (10 ounce) package frozen cut okra;1 (10 ounce) package frozen baby lima beans;1 (10 ounce) package frozen corn kernels;4 medium potatoes, peeled and diced",2
4,Lima Bean Recipes,Delicious Vegetable Beef Soup,https://www.allrecipes.com/recipe/86603/delicious-vegetable-beef-soup/,25 m,2 h 20 m,2 h 45 m,Original recipe yields 8 servings,357  cals,12.5 ,39.8,21.2 ,53 ,862 ,"2 (14 ounce) cans vegetable broth;2 cups water;5 small potatoes, peeled and diced;1/3 head cabbage, chopped;1 1/2 pounds ground beef;1 small onion, diced;1/4 cup diced celery;1/4 cup chopped green bell pepper;1 tablespoon minced garlic;2 (11.5 ounce) cans tomato-vegetable juice cocktail;1 (14.5 ounce) can Italian-style diced tomatoes;1/2 (16 ounce) package frozen mixed vegetables;1 cup frozen cut okra;1 cup frozen lima beans;2 cubes beef bouillon, crumbled;2 tablespoons Worcestershire sauce;1 tablespoon celery seed;1 tablespoon bacon grease;salt and pepper to taste",3
5,Lima Bean Recipes,Luscious Lima Bean Soup II,https://www.allrecipes.com/recipe/77232/luscious-lima-bean-soup-ii/,15 m,7 h,7 h 15 m,Original recipe yields 8 servings,326  cals,11.4 ,43.7,13 ,26 ,1381 ,"3 slices bacon;4 cups frozen lima beans;1 (15 ounce) can butter beans, undrained;2 potatoes, diced;2 stalks celery, chopped;2 small onions, chopped;3 carrots, sliced;1/4 cup butter;1/2 tablespoon dried marjoram;1 teaspoon salt;1/2 teaspoon pepper;3 (14 ounce) cans chicken broth",3
6,Lima Bean Recipes,Butter Bean Burgers,https://www.allrecipes.com/recipe/21643/butter-bean-burgers/,,,,,,,,,,,,0
7,Lima Bean Recipes,Calico Beans,https://www.allrecipes.com/recipe/13795/calico-beans/,10 m,1 h 15 m,1 h 25 m,Original recipe yields 8 servings (8 to 10 servings),434  cals,10 ,66.6,22.3 ,38 ,953 ,"1/2 cup bacon, chopped;1 pound lean ground beef;1 (15 ounce) can pork and beans;1 (15 ounce) can kidney beans, drained;1 (15 ounce) can butter beans;1 (15 ounce) can lima beans, drained;1/2 cup ketchup;1 cup packed brown sugar;1 cup chopped onion;3 tablespoons white wine vinegar;1 teaspoon mustard powder;1/2 cup chopped celery",4
8,Lima Bean Recipes,Chicken Stew With Coconut Milk,https://www.allrecipes.com/recipe/78008/chicken-stew-with-coconut-milk/,,,,,,,,,,,,0
9,Lima Bean Recipes,Aunt Ro's Baked Beans,https://www.allrecipes.com/recipe/143350/aunt-ros-baked-beans/,,,,,,,,,,,,0
10,Lima Bean Recipes,Luscious Lima Bean Soup,https://www.allrecipes.com/recipe/12907/luscious-lima-bean-soup/,25 m,2 h 5 m,4 h 30 m,Original recipe yields 9 servings,220  cals,3.5 ,37.3,11.4 ,0 ,46 ,"1 pound dry lima beans;4 cups water;5 carrots, chopped;1 leek, bulb only, chopped;2 tablespoons minced shallots;2 stalks celery, chopped;4 cubes vegetable bouillon;8 cups water;2 tablespoons olive oil",3
11,Lima Bean Recipes,Bandito Beans,https://www.allrecipes.com/recipe/86816/bandito-beans/,15 m,5 h,5 h 15 m,Original recipe yields 24 servings,169  cals,4.4 ,26.5,7.1 ,11 ,591 ,"1 pound mild pork sausage;1 (15 ounce) can wax beans, drained;1 (15 ounce) can cut green beans, drained;1 (15 ounce) can lima beans, drained;1 (15 ounce) can black beans, drained;1/2 (28 ounce) can barbeque baked beans, with liquid;1 (15 ounce) can chili beans, with liquid;1 (6 ounce) can tomato paste;1 cup packed light brown sugar;1/4 cup barbeque sauce;1 small green bell pepper, diced;1 small yellow onion, diced;1 teaspoon fennel seed",3
