,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
0,Apple Recipes,Apple Flavored Pot Roast,https://www.allrecipes.com/recipe/98056/apple-flavored-pot-roast/,15 m,4 h,4 h 15 m,Original recipe yields 6 servings,792  cals,46.2 ,51.1,41.8 ,164 ,611 ,"1 (3 pound) boneless beef chuck roast;1 (12 fluid ounce) can frozen apple juice concentrate, thawed;1 dash soy sauce;3 cloves garlic, chopped;1 (1 ounce) envelope dry onion soup mix;3 baking potatoes, peeled and diced;2 carrots, peeled and sliced",3
1,Apple Recipes,Apple Squares,https://www.allrecipes.com/recipe/15067/apple-squares/,25 m,30 m,55 m,Original recipe yields 16 servings (1 9x9-inch pan),143  cals,5.7 ,22.1,1.8 ,19 ,94 ,"1 cup sifted all-purpose flour;1 teaspoon baking powder;1/4 teaspoon salt;1/4 teaspoon ground cinnamon;1/4 cup butter or margarine, melted;1/2 cup packed brown sugar;1/2 cup white sugar;1 egg;1 teaspoon vanilla extract;1/2 cup chopped apple;1/2 cup finely chopped walnuts;2 tablespoons white sugar;2 teaspoons ground cinnamon",3
2,Apple Recipes,Mini Apple Pies ,https://www.allrecipes.com/recipe/219617/mini-apple-pies/,20 m,30 m,1 h 20 m,Original recipe yields 4 servings (4 mini pies),614  cals,29.9 ,83.1,5.9 ,0 ,469 ,2 pastries for 9-inch single crust pies;3 cups diced Granny Smith apple;2 tablespoons instant tapioca;1/2 cup white sugar;lemon juice;1/8 teaspoon ground nutmeg;1/4 teaspoon ground cinnamon,4
3,Apple Recipes,Caramel Apple Pork Chops,https://www.allrecipes.com/recipe/14692/caramel-apple-pork-chops/,20 m,25 m,45 m,Original recipe yields 4 servings,262  cals,16 ,17.1,13.8 ,48 ,27 ,"4 (3/4 inch) thick pork chops;1 teaspoon vegetable oil;2 tablespoons brown sugar;salt and pepper to taste;1/8 teaspoon ground cinnamon;1/8 teaspoon ground nutmeg;2 tablespoons unsalted butter;2 tart apples - peeled, cored and sliced;3 tablespoons pecans (optional)",4
4,Apple Recipes,Apple Stuffed Chicken Breast,https://www.allrecipes.com/recipe/8546/apple-stuffed-chicken-breast/,,,,,,,,,,,,0
5,Apple Recipes,Fruity Curry Chicken Salad,https://www.allrecipes.com/recipe/8932/fruity-curry-chicken-salad/,,,,,,,,,,,,0
6,Apple Recipes,Old Fashioned Apple Dumplings,https://www.allrecipes.com/recipe/46232/old-fashioned-apple-dumplings/,30 m,1 h,1 h 30 m,Original recipe yields 6 servings,899  cals,35.4 ,147.8,4.5 ,41 ,434 ,"1 recipe pastry for double-crust pie;6 large Granny Smith apples, peeled and cored;1/2 cup butter;3/4 cup brown sugar;1 teaspoon ground cinnamon;1/2 teaspoon ground nutmeg;3 cups water;2 cups white sugar;1 teaspoon vanilla extract",5
7,Apple Recipes,Sarah's Applesauce,https://www.allrecipes.com/recipe/51301/sarahs-applesauce/,10 m,20 m,30 m,Original recipe yields 4 servings,121  cals,0.2 ,31.8,0.4 ,0 ,3 ,"4 apples - peeled, cored and chopped;3/4 cup water;1/4 cup white sugar;1/2 teaspoon ground cinnamon",1
8,Apple Recipes,Sauteed Apples,https://www.allrecipes.com/recipe/21672/sauteed-apples/,5 m,15 m,20 m,Original recipe yields 8 servings (4 cups),143  cals,5.9 ,24.3,0.4 ,15 ,45 ,"1/4 cup butter;4 large tart apples - peeled, cored and sliced 1/4 inch thick;2 teaspoons cornstarch;1/2 cup cold water;1/2 cup brown sugar;1/2 teaspoon ground cinnamon",2
9,Apple Recipes,Apple Pie by Grandma Ople,https://www.allrecipes.com/recipe/12682/apple-pie-by-grandma-ople/,30 m,1 h,1 h 30 m,Original recipe yields 8 servings (1 - 9 inch pie),512  cals,26.7 ,67.8,3.6 ,31 ,241 ,"1 recipe pastry for a 9 inch double crust pie;1/2 cup unsalted butter;3 tablespoons all-purpose flour;1/4 cup water;1/2 cup white sugar;1/2 cup packed brown sugar;8 Granny Smith apples - peeled, cored and sliced",3
10,Apple Recipes,Apple Crisp II,https://www.allrecipes.com/recipe/12409/apple-crisp-ii/,30 m,45 m,1 h 20 m,Original recipe yields 12 servings (1 9x13-inch pan),316  cals,8.4 ,60.5,2.4 ,20 ,98 ,"10 cups all-purpose apples, peeled, cored and sliced;1 cup white sugar;1 tablespoon all-purpose flour;1 teaspoon ground cinnamon;1/2 cup water;1 cup quick-cooking oats;1 cup all-purpose flour;1 cup packed brown sugar;1/4 teaspoon baking powder;1/4 teaspoon baking soda;1/2 cup butter, melted",4
11,Apple Recipes,Country Apple Dumplings,https://www.allrecipes.com/recipe/102133/country-apple-dumplings/,20 m,45 m,1 h 5 m,Original recipe yields 16 servings (16 dumplings),333  cals,19 ,38.5,2.7 ,31 ,360 ,"2 large Granny Smith apples, peeled and cored;2 (10 ounce) cans refrigerated crescent roll dough;1 cup butter;1 1/2 cups white sugar;1 teaspoon ground cinnamon;1 (12 fluid ounce) can or bottle Mountain Dew ™",4
12,Apple Recipes,"Awesome Sausage, Apple and Cranberry Stuffing",https://www.allrecipes.com/recipe/13651/awesome-sausage-apple-and-cranberry-stuffing/,15 m,25 m,1 h 40 m,Original recipe yields 10 servings,235  cals,11.6 ,21.7,12.5 ,80 ,548 ,"1 1/2 cups cubed whole wheat bread;3 3/4 cups cubed white bread;1 pound ground turkey sausage;1 cup chopped onion;3/4 cup chopped celery;2 1/2 teaspoons dried sage;1 1/2 teaspoons dried rosemary;1/2 teaspoon dried thyme;1 Golden Delicious apple, cored and chopped;3/4 cup dried cranberries;1/3 cup minced fresh parsley;1 cooked turkey liver, finely chopped;3/4 cup turkey stock;4 tablespoons unsalted butter, melted",3
13,Apple Recipes,Apple Strudel Muffins,https://www.allrecipes.com/recipe/33157/apple-strudel-muffins/,20 m,20 m,1 h,Original recipe yields 12 servings (12 muffins),264  cals,9.7 ,41.4,3.4 ,54 ,255 ,2 cups all-purpose flour;1 teaspoon baking powder;1/2 teaspoon baking soda;1/2 teaspoon salt;1/2 cup butter;1 cup white sugar;2 eggs;1 1/4 teaspoons vanilla;1 1/2 cups chopped apples;1/3 cup packed brown sugar;1 tablespoon all-purpose flour;1/8 teaspoon ground cinnamon;1 tablespoon butter,5
14,Apple Recipes,Mulligatawny Soup I,https://www.allrecipes.com/recipe/13087/mulligatawny-soup-i/,,,,,,,,,,,,0
15,Apple Recipes,German Apple Cake I,https://www.allrecipes.com/recipe/7915/german-apple-cake-i/,,,,Original recipe yields 24 servings (1 -9x13 inch cake),201  cals,9.7 ,27.7,1.7 ,16 ,107 ,"2 eggs;1 cup vegetable oil;2 cups white sugar;2 teaspoons ground cinnamon;1/2 teaspoon salt;1 teaspoon vanilla extract;2 cups all-purpose flour;1 teaspoon baking soda;4 cups apples - peeled, cored and diced",4
16,Apple Recipes,Winter Fruit Salad with Lemon Poppyseed Dressing,https://www.allrecipes.com/recipe/13482/winter-fruit-salad-with-lemon-poppyseed-dressing/,25 m,25 m,,Original recipe yields 12 servings,277  cals,20.6 ,21,4.9 ,9 ,201 ,"1/2 cup white sugar;1/2 cup lemon juice;2 teaspoons diced onion;1 teaspoon Dijon-style prepared mustard;1/2 teaspoon salt;2/3 cup vegetable oil;1 tablespoon poppy seeds;1 head romaine lettuce, torn into bite-size pieces;4 ounces shredded Swiss cheese;1 cup cashews;1/4 cup dried cranberries;1 apple - peeled, cored and diced;1 pear - peeled, cored and sliced",2
