,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
0,Venison Recipes,Venison with Sherry-Mushroom Sauce,https://www.allrecipes.com/recipe/102765/venison-with-sherry-mushroom-sauce/,,,,,,,,,,,,0
1,Venison Recipes,Easy Venison Stew,https://www.allrecipes.com/recipe/213670/easy-venison-stew/,10 m,30 m,40 m,Original recipe yields 4 servings,249  cals,9.4 ,12.6,26.2 ,86 ,721 ,"2 tablespoons olive oil;1 onion, chopped;2 cloves minced garlic;1 pound venison, cut into strips;1 (28 ounce) can diced tomatoes;1 (8 ounce) can sliced mushrooms, drained;1/2 teaspoon dried thyme;1/2 teaspoon dried sage;1/4 teaspoon dried tarragon;1/4 teaspoon salt",1
2,Venison Recipes,Slow Cooked Teriyaki Venison,https://www.allrecipes.com/recipe/159188/slow-cooked-teriyaki-venison/,10 m,6 h 15 m,6 h 25 m,Original recipe yields 8 servings,244  cals,2.5 ,30.8,23.9 ,86 ,783 ,1 (2 pound) venison roast;1 cup packed brown sugar;1/3 cup unsweetened apple juice;1/3 cup soy sauce;1/2 teaspoon salt;3 tablespoons cold water;2 tablespoons cornstarch,2
3,Venison Recipes,Bacon and Venison Burgers,https://www.allrecipes.com/recipe/240570/bacon-and-venison-burgers/,15 m,10 m,25 m,Original recipe yields 5 servings (5 burgers),823  cals,24.8 ,39.3,103.5 ,354 ,1438 ,"1 pound peppercorn bacon, diced;5 pounds ground venison;2 cups bread crumbs;1/2 cup Worcestershire sauce;1/4 cup evaporated milk;5 cloves garlic, minced;1 teaspoon ground cayenne pepper",3
4,Venison Recipes,All Day Venison Pot Roast,https://www.allrecipes.com/recipe/219327/all-day-venison-pot-roast/,15 m,8 h,8 h 15 m,Original recipe yields 6 servings,343  cals,7.9 ,19.6,47 ,161 ,1043 ,"3 onions, chopped;5 carrots, cut into 2-inch pieces;1 cup chopped portobello mushrooms;3 pounds venison rump roast;2 garlic cloves, crushed;1 tablespoon ground black pepper;salt to taste (optional);1 (10.75 ounce) can condensed cream of mushroom soup;1 (10.5 ounce) can condensed beef broth;1/4 cup water;1 (1.25 ounce) envelope dry onion gravy mix",2
5,Venison Recipes,Sloppy Does,https://www.allrecipes.com/recipe/231084/sloppy-does/,10 m,20 m,30 m,Original recipe yields 4 servings,175  cals,4 ,10.6,23.7 ,86 ,394 ,"1 teaspoon olive oil;1 pound ground venison;1 jalapeno pepper, seeded and diced;1/2 cup ketchup;1 clove garlic, diced;2 teaspoons molasses;1 teaspoon prepared yellow mustard",1
6,Venison Recipes,Venison Pot Roast and Gravy,https://www.allrecipes.com/recipe/160301/venison-pot-roast-and-gravy/,15 m,1 h 15 m,1 h 30 m,Original recipe yields 4 servings (1 venison roast),268  cals,14.5 ,7.8,25.7 ,116 ,1200 ,"1 pound boneless venison roast, thinly sliced across the grain;1 tablespoon minced garlic;1 tablespoon grill seasoning;1 teaspoon chili powder;2 cups beef broth;1/4 cup butter;1/4 cup flour",4
7,Venison Recipes,Venison Schnitzel,https://www.allrecipes.com/recipe/45597/venison-schnitzel/,30 m,25 m,55 m,Original recipe yields 4 servings,669  cals,26.7 ,42.9,60.4 ,242 ,988 ,"2 pounds venison tenderloin;1/4 cup vegetable oil;2 teaspoons bacon drippings;3/4 cup all-purpose flour;1 teaspoon salt;1/4 teaspoon freshly ground black pepper;1 egg, lightly beaten;2 tablespoons milk;1 cup dry bread crumbs;1/2 cup crushed buttery round cracker crumbs;2 tablespoons lemon juice",4
8,Venison Recipes,Slow Cooker Shredded Venison for Tacos,https://www.allrecipes.com/recipe/18853/slow-cooker-shredded-venison-for-tacos/,15 m,45 m,1 h,Original recipe yields 7 servings (6 to 8 servings),403  cals,10.8 ,7.1,64.1 ,235 ,449 ,"1 (1.25 ounce) package taco seasoning mix;1/4 cup all-purpose flour;3 pounds venison roast;2 teaspoons cayenne pepper, or to taste;2 tablespoons vegetable oil;1 1/2 cups water",2
9,Venison Recipes,Slow Cooker Venison Roast,https://www.allrecipes.com/recipe/23825/slow-cooker-venison-roast/,10 m,6 h,6 h 10 m,Original recipe yields 6 servings,314  cals,8 ,10,48 ,171 ,1882 ,"3 pounds boneless venison roast;1 large onion, sliced;1 tablespoon soy sauce;1 tablespoon Worcestershire sauce;1 tablespoon garlic salt;1/4 teaspoon ground black pepper;1 (1 ounce) package dry onion soup mix;1 (10.75 ounce) can condensed cream of mushroom soup",2
