,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
0,Chanterelle Mushrooms,Chanterelle Mushroom and Bacon Tartlets,https://www.allrecipes.com/recipe/52559/chanterelle-mushroom-and-bacon-tartlets/,15 m,25 m,40 m,Original recipe yields 12 servings (24 mini tarts),109  cals,6.2 ,7,4.3 ,25 ,132 ,"2 teaspoons olive oil;2 tablespoons minced shallots;1 clove garlic, minced;1 1/2 cups chanterelle mushrooms, finely chopped;1 tablespoon brandy;1/2 teaspoon minced fresh thyme;1 tablespoon minced fresh parsley;1/4 teaspoon salt and pepper to taste;1 egg;1/4 cup milk;1/4 cup shredded Swiss cheese;2 tablespoons cream cheese, softened;2 slices bacon, cooked and crumbled;24 mini phyllo tart shells",4
1,Chanterelle Mushrooms,Mushroom Sauce,https://www.allrecipes.com/recipe/14631/mushroom-sauce/,5 m,15 m,20 m,Original recipe yields 4 servings (2 cups),167  cals,14.8 ,4.1,3 ,38 ,500 ,"2 cups fresh sliced mushrooms;1/4 cup butter;1 tablespoon butter;1 tablespoon shallots, minced;1/2 cup chopped mushrooms;1/2 teaspoon dried thyme;1 bay leaf;1/4 cup red wine;2 cups beef broth;1 tablespoon arrowroot powder;salt to taste;freshly ground black pepper",3
2,Chanterelle Mushrooms,Gorgonzola and Wild Mushroom Risotto,https://www.allrecipes.com/recipe/150033/gorgonzola-and-wild-mushroom-risotto/,20 m,25 m,1 h 15 m,Original recipe yields 4 servings,545  cals,7.7 ,91.3,16.3 ,21 ,755 ,"2 ounces dried chanterelle mushrooms;1 1/2 teaspoons butter;1 teaspoon truffle oil (optional);1 chopped onion;2 shallots, minced;1 clove garlic, minced;3 ounces sliced fresh button mushrooms;1 (12 ounce) package Arborio rice;1/2 cup dry white wine;1 quart hot chicken stock;2 tablespoons heavy cream;2 tablespoons crumbled Gorgonzola cheese, or to taste;ground black pepper to taste",5
3,Chanterelle Mushrooms,Chanterelle Risotto,https://www.allrecipes.com/recipe/47757/chanterelle-risotto/,,,,,,,,,,,,0
4,Chanterelle Mushrooms,Roasted Wild Mushrooms and Potatoes,https://www.allrecipes.com/recipe/235278/roasted-wild-mushrooms-and-potatoes/,1 h 5 m,1 h 15 m,,Original recipe yields 4 servings,335  cals,13.7 ,44.9,9.7 ,5 ,168 ,"2 pounds new potatoes (such as Yukon Gold), halved;2 tablespoons olive oil, or more if needed;salt to taste;1 teaspoon olive oil;2 ounces pancetta, chopped;1/4 pound king trumpet mushrooms, cut into chunks;1/4 pound chanterelle mushrooms, cut into chunks;1/4 pound nameko mushrooms, trimmed;1/4 pound clamshell (shimeji) mushrooms, trimmed;3 tablespoons sherry vinegar;2 tablespoons chopped fresh tarragon;2 cloves garlic, minced;1 tablespoon olive oil (optional)",8
5,Chanterelle Mushrooms,Wild Mushroom Sauce,https://www.allrecipes.com/recipe/30845/wild-mushroom-sauce/,5 m,15 m,20 m,Original recipe yields 4 servings,389  cals,30.4 ,21.1,4.5 ,32 ,1923 ,"4 tablespoons butter;1/4 cup finely chopped shallots;2 ounces portobello mushrooms, sliced;2 ounces crimini mushrooms, sliced;2 ounces shiitake mushrooms, sliced;2 ounces morel mushrooms, sliced;2 ounces chanterelle mushrooms, sliced;1/2 cup red wine;6 fluid ounces beef demi glace;salt and freshly ground black pepper to taste",1
6,Chanterelle Mushrooms,Shrimp Cognac and Baked Cheese Grits,https://www.allrecipes.com/recipe/213556/shrimp-cognac-and-baked-cheese-grits/,30 m,1 h 30 m,2 h,Original recipe yields 12 servings,425  cals,24.1 ,26.9,18.4 ,165 ,846 ,"6 cups water;3/4 teaspoon salt;2 cups yellow grits;1 3/4 teaspoons salt;1/2 teaspoon ground black pepper;1/2 cup unsalted butter;2 tablespoons minced garlic;1 (8 ounce) package shredded Cheddar cheese;3 eggs;1 cup whole milk;1/4 cup clarified butter;2 tablespoons minced garlic;1 leek, halved and cut into 1/4-inch pieces;2 ounces fresh morel mushrooms, chopped;3 ounces fresh oyster mushrooms, chopped;3 ounces fresh chanterelle mushrooms, chopped;2 tomatoes, peeled, seeded, and chopped;1 tablespoon Creole seasoning;1/2 cup cognac;1/2 cup shrimp stock;1/3 cup veal stock;1 pound peeled and deveined gulf shrimp;2 tablespoons chopped fresh thyme;3 tablespoons unsalted butter;salt and black pepper to taste",5
7,Chanterelle Mushrooms,Chicken with Chanterelle Mushrooms and Marsala Wine,https://www.allrecipes.com/recipe/221551/chicken-with-chanterelle-mushrooms-and-marsala-wine/,,,,,,,,,,,,0
8,Chanterelle Mushrooms,Grilled Halibut Steaks with Corn and Chanterelles ,https://www.allrecipes.com/recipe/239543/grilled-halibut-steaks-with-corn-and-chanterelles/,20 m,20 m,40 m,Original recipe yields 2 servings,562  cals,25.7 ,30.9,53.6 ,87 ,339 ,"2 large halibut steaks;salt and ground black pepper to taste;2 tablespoons olive oil;2 cups sliced chanterelle mushrooms;1 cup corn kernels;1/3 cup diced roasted red peppers;1/2 cup water;1 lemon, juiced;1 tablespoon butter;1 tablespoon minced fresh tarragon",4
9,Chanterelle Mushrooms,Fried Polenta Squares with Creamy Mushroom Ragu,https://www.allrecipes.com/recipe/244897/fried-polenta-squares-with-creamy-mushroom-ragu/,2 h 30 m,1 h 15 m,3 h 45 m,Original recipe yields 4 servings,448  cals,19 ,46.9,19 ,33 ,949 ,"4 cups water;1 cup polenta;1/2 cup finely grated Parmesan cheese;3/4 teaspoon kosher salt, divided;2 tablespoons olive oil;1 small yellow onion, diced;3 cloves garlic, minced;1 pound mixed wild mushrooms (like shiitake, oyster, chanterelle, hen of the woods), cleaned and sliced;1 pound cremini mushrooms, cleaned and sliced;1 tablespoon minced fresh thyme;2 tablespoons all-purpose flour;1/2 cup dry white wine;1/4 cup heavy cream;1 teaspoon sugar;1 squeeze fresh lemon juice;1/2 cup chopped flat-leaf parsley;1 sheet Reynolds Wrap® Aluminum Foil",5
