,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
0,Pasta by Shape,Baked Ziti I,https://www.allrecipes.com/recipe/11758/baked-ziti-i/,20 m,35 m,55 m,Original recipe yields 10 servings,578  cals,25.3 ,58.4,27.9 ,71 ,914 ,"1 pound dry ziti pasta;1 onion, chopped;1 pound lean ground beef;2 (26 ounce) jars spaghetti sauce;6 ounces provolone cheese, sliced;1 1/2 cups sour cream;6 ounces mozzarella cheese, shredded;2 tablespoons grated Parmesan cheese",4
1,Pasta by Shape,Brooklyn Girl's Penne Arrabiata,https://www.allrecipes.com/recipe/77758/brooklyn-girls-penne-arrabiata/,,,,,,,,,,,,0
2,Pasta by Shape,Tortellini Salad,https://www.allrecipes.com/recipe/206441/tortellini-salad/,20 m,5 m,1 h 25 m,Original recipe yields 8 servings,415  cals,25.9 ,30.3,17 ,53 ,729 ,"1 (16 ounce) package refrigerated cheese tortellini;4 ounces sliced pepperoni, quartered;2 green onions, sliced;1 (2.25 ounce) can sliced black olives;1 (6.5 ounce) jar marinated artichoke hearts, drained and chopped;6 ounces mozzarella cheese, diced;1/3 cup extra-virgin olive oil;1 1/2 tablespoons balsamic vinegar;1 1/2 tablespoons distilled white vinegar;1 teaspoon dried Italian herb seasoning;salt and black pepper to taste",3
3,Pasta by Shape,Orzo with Parmesan and Basil,https://www.allrecipes.com/recipe/11853/orzo-with-parmesan-and-basil/,10 m,20 m,30 m,Original recipe yields 4 servings,299  cals,9.4 ,42.2,11.6 ,24 ,197 ,2 tablespoons butter;1 cup uncooked orzo pasta;1 (14.5 ounce) can chicken broth;1/2 cup grated Parmesan cheese;1/4 cup chopped fresh basil;salt and pepper to taste;2 tablespoons chopped fresh basil,3
4,Pasta by Shape,Angel Hair Pasta with Pignoli,https://www.allrecipes.com/recipe/11719/angel-hair-pasta-with-pignoli/,,,,Original recipe yields 3 servings (2 - 4 servings),1129  cals,99 ,49.4,18.4 ,247 ,257 ,3/4 cup pine nuts;1/2 cup clarified butter;1 1/4 cups heavy whipping cream;2 1/3 tablespoons butter;1 pinch ground nutmeg;salt to taste;1 pinch freshly ground white pepper;1 (8 ounce) package angel hair pasta,3
5,Pasta by Shape,Penne with Chicken and Pesto,https://www.allrecipes.com/recipe/26284/penne-with-chicken-and-pesto/,,,,,,,,,,,,0
6,Pasta by Shape,Zucchini with Farfalle,https://www.allrecipes.com/recipe/11707/zucchini-with-farfalle/,,,,Original recipe yields 7 servings (4 - 8 servings),432  cals,20.5 ,53.2,11.5 ,34 ,66 ,"5 tablespoons olive oil;5 small zucchini, julienned;2 onions, minced;1 clove garlic, minced;2/3 cup heavy whipping cream;1 (16 ounce) package farfalle pasta;2 tablespoons grated Parmesan cheese;salt to taste;freshly ground black pepper;2 tablespoons grated Parmesan cheese",4
7,Pasta by Shape,Linguine and Clam Sauce,https://www.allrecipes.com/recipe/19307/linguine-and-clam-sauce/,,,,,,,,,,,,0
8,Pasta by Shape,Cheesy Stuffed Shells,https://www.allrecipes.com/recipe/19353/cheesy-stuffed-shells/,15 m,45 m,1 h,Original recipe yields 8 servings,461  cals,18.4 ,51.9,21.9 ,69 ,741 ,"1 (16 ounce) package jumbo pasta shells;1/2 pound Italian sausage;1 (10 ounce) package frozen chopped spinach - thawed, drained and squeezed dry;1 cup ricotta cheese;1 egg;3 cloves garlic, crushed;1/2 lemon, juiced;1/4 cup grated Parmesan cheese;salt and pepper to taste;1/2 teaspoon dried oregano;2 cups spaghetti sauce;2 cups shredded mozzarella cheese",5
9,Pasta by Shape,World's Best Lasagna,https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/,30 m,2 h 30 m,3 h 15 m,Original recipe yields 12 servings,448  cals,21.3 ,36.5,29.7 ,82 ,1400 ,"1 pound sweet Italian sausage;3/4 pound lean ground beef;1/2 cup minced onion;2 cloves garlic, crushed;1 (28 ounce) can crushed tomatoes;2 (6 ounce) cans tomato paste;2 (6.5 ounce) cans canned tomato sauce;1/2 cup water;2 tablespoons white sugar;1 1/2 teaspoons dried basil leaves;1/2 teaspoon fennel seeds;1 teaspoon Italian seasoning;1 1/2 teaspoons salt, divided, or to taste;1/4 teaspoon ground black pepper;4 tablespoons chopped fresh parsley;12 lasagna noodles;16 ounces ricotta cheese;1 egg;3/4 pound mozzarella cheese, sliced;3/4 cup grated Parmesan cheese",5
