,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
0,Spanish Rice,Spanish Rice Original,https://www.allrecipes.com/recipe/53224/spanish-rice-original/,20 m,55 m,1 h 15 m,Original recipe yields 6 servings,373  cals,18.5 ,45.7,8.7 ,19 ,1195 ,"1 cup chicken broth;1 cup tomato sauce;6 slices bacon;2 onions, diced;1 cup uncooked white rice;2 tomatoes, diced;2 green bell peppers, diced;1/2 teaspoon chili powder;1/2 teaspoon salt and ground black pepper;1 (10 ounce) can sliced black olives, drained (optional);1 (10 ounce) can whole kernel corn, drained (optional)",3
1,Spanish Rice,Quick and Easy Spanish Rice,https://www.allrecipes.com/recipe/220650/quick-and-easy-spanish-rice/,10 m,25 m,35 m,Original recipe yields 6 servings,241  cals,5.2 ,42.8,4.5 ,2 ,529 ,"1/4 cup chopped onion;2 cloves garlic, minced;2 tablespoons vegetable oil;3 cups uncooked instant rice (such as Minute®);2 1/4 cups chicken broth;1 cup vegetable juice (such as V8®);1 1/2 teaspoons taco seasoning",3
2,Spanish Rice,Spanish Brown Rice,https://www.allrecipes.com/recipe/230893/spanish-brown-rice/,10 m,50 m,1 h 10 m,Original recipe yields 4 servings (4 side dish servings),199  cals,1.5 ,42.2,5 ,0 ,396 ,1 cup brown rice;1 teaspoon minced garlic;2 cups water;1 cup salsa;1 cup diced tomatoes,2
3,Spanish Rice,Spanish Rice I,https://www.allrecipes.com/recipe/22718/spanish-rice-i/,5 m,15 m,20 m,Original recipe yields 4 servings,509  cals,3.8 ,108.4,10.8 ,0 ,684 ,"1 tablespoon vegetable oil;1 1/2 cups instant rice;1 onion, chopped;1 red bell pepper, chopped;1/2 green bell pepper, chopped;1 teaspoon prepared mustard;1/2 teaspoon salt;1 1/2 (14.5 ounce) cans whole peeled tomatoes;1 cup tomato juice",1
4,Spanish Rice,Easy Spanish Rice,https://www.allrecipes.com/recipe/233081/easy-spanish-rice/,10 m,25 m,35 m,Original recipe yields 8 servings,168  cals,3.7 ,30.4,2.9 ,0 ,18 ,"2 tablespoons olive oil;1 1/2 cups long-grain rice;3 cups water;2 roma (plum) tomatoes, chopped;1 cup chopped onion;3/4 cup chopped fresh cilantro, or more to taste;1 tablespoon tomato bouillon with chicken flavoring (such as Knorr®), or more to taste",2
5,Spanish Rice,Best Spanish Rice,https://www.allrecipes.com/recipe/33385/best-spanish-rice/,10 m,20 m,30 m,Original recipe yields 5 servings,286  cals,6.2 ,50.9,5.7 ,2 ,697 ,2 tablespoons oil;2 tablespoons chopped onion;1 1/2 cups uncooked white rice;2 cups chicken broth;1 cup chunky salsa,2
6,Spanish Rice,Spanish Rice II,https://www.allrecipes.com/recipe/24329/spanish-rice-ii/,10 m,30 m,40 m,Original recipe yields 4 servings,270  cals,7.6 ,45.7,4.8 ,0 ,882 ,"2 tablespoons vegetable oil;1 cup uncooked white rice;1 onion, chopped;1/2 green bell pepper, chopped;2 cups water;1 (10 ounce) can diced tomatoes and green chiles;2 teaspoons chili powder, or to taste;1 teaspoon salt",2
7,Spanish Rice,Linnie's Spanish Rice,https://www.allrecipes.com/recipe/17428/linnies-spanish-rice/,30 m,30 m,,Original recipe yields 4 servings (4 side servings),200  cals,0.5 ,44.2,5.1 ,0 ,674 ,1 cup uncooked white rice;1 teaspoon minced garlic;2 cups water;1 (16 ounce) jar salsa,1
8,Spanish Rice,Spanish Rice,https://www.allrecipes.com/recipe/16652/spanish-rice/,20 m,40 m,1 h,Original recipe yields 6 servings,269  cals,2.9 ,54.8,5.2 ,0 ,153 ,"1 tablespoon vegetable oil;2 cups uncooked long-grain white rice;1/4 onion, chopped;1 green bell pepper, chopped;salt and pepper to taste;1 (14.5 ounce) can stewed tomatoes;4 cups water",2
9,Spanish Rice,Arroz Rojo (Mexican Red Rice),https://www.allrecipes.com/recipe/221433/arroz-rojo-mexican-red-rice/,15 m,25 m,50 m,Original recipe yields 5 servings,213  cals,6 ,35.1,4.6 ,1 ,109 ,"2 Roma (plum tomatoes), cored;2 tablespoons vegetable oil;1 cup minced onion;2 cloves garlic, minced;1 cup uncooked long-grain white rice;1 3/4 cups low-sodium chicken broth;1/4 cup canned tomato sauce;1 jalapeno pepper, chopped;2 sprigs fresh cilantro;salt to taste",5
