,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
0,Tofu Recipes,"Chai Spice ""Cheesecake""",https://www.allrecipes.com/recipe/256014/chai-spice-cheesecake/,20 m,55 m,6 h,Original recipe yields 8 servings (1 (9-inch) cheesecake),403  cals,20.2 ,54.4,6.1 ,0 ,230 ,"1 1/2 cups crushed vegan graham crackers;1/4 cup packed brown sugar;3 tablespoons coconut oil, melted;2 tablespoons non-dairy milk (such as rice, soy, or almond);Cheesecake:;1 (12 ounce) package extra-firm silken tofu, drained;1/2 cup raw cashews, soaked in water 1 to 2 hours, drained;1/2 cup mashed ripe banana;1/4 cup fresh lemon juice;2 tablespoons coconut oil, room temperature;2 teaspoons vanilla extract;2/3 cup sugar;4 teaspoons cornstarch;2 teaspoons ground cardamom;2 teaspoons ground ginger;1/2 teaspoon ground cinnamon;1/4 teaspoon salt;1/8 teaspoon ground cloves;Topping:;2 cups vegan whipped topping;1/2 teaspoon ground cinnamon;4 teaspoons finely chopped candied ginger",5
1,Tofu Recipes,Tofu Nuggets,https://www.allrecipes.com/recipe/262354/tofu-nuggets/,,,,,,,,,,,,0
2,Tofu Recipes,Ultimate Tofu Breakfast Burrito Bowls,https://www.allrecipes.com/recipe/256021/ultimate-tofu-breakfast-burrito-bowls/,,,,,,,,,,,,0
3,Tofu Recipes,Vegan Sweet and Sour Meatballs,https://www.allrecipes.com/recipe/261712/vegan-sweet-and-sour-meatballs/,25 m,35 m,1 h,Original recipe yields 4 servings,703  cals,35.1 ,84.5,15.6 ,0 ,1555 ,"1/2 cup warm water;2 tablespoons egg replacer;1 cup shredded vegan cheese;1/2 cup grated tofu;1/4 cup nutritional yeast;1 teaspoon salt;1/2 teaspoon garlic powder;1/2 cup finely chopped onion;1/2 cup finely chopped pecans;1 tablespoon Italian seasoning;1 teaspoon dried basil;1/2 teaspoon dried sage;1 cup dry bread crumbs, or more as needed;Sauce:;3/4 cup grape jelly;1/2 cup ketchup;1/4 cup olive oil;1/4 cup white vinegar;1 tablespoon chopped garlic;1 teaspoon dried oregano",5
4,Tofu Recipes,Brown Rice Buddha Bowl,https://www.allrecipes.com/recipe/256984/brown-rice-buddha-bowl/,30 m,18 m,48 m,Original recipe yields 3 servings,583  cals,22.6 ,80.5,18 ,0 ,692 ,"Rice:;3 cups water;1 cup long-grain brown rice;1/2 teaspoon salt;Dressing:;1 lime, juiced;2 tablespoons olive oil;1 tablespoon sesame oil;1 tablespoon dried Thai basil;1 teaspoon minced hot chile pepper;Vegetables:;2 tablespoons sesame seeds;1/2 (8 ounce) package snow peas;1 cup cooked chickpeas, drained;1/2 (16 ounce) package firm tofu, cut into strips;16 baby corn, cut into bite-sized pieces;1 cup grated carrots;1 small green bell pepper, diced;2 green onions, cut on the diagonal;2 tablespoons chopped fresh cilantro",5
5,Tofu Recipes,Vegan Lettuce Wraps,https://www.allrecipes.com/recipe/257224/vegan-lettuce-wraps/,40 m,7 m,47 m,Original recipe yields 4 servings (8 wraps),225  cals,13 ,20.9,8.4 ,< 1 ,730 ,"Dipping Sauce:;1/3 cup vegetarian hoisin sauce;1 teaspoon water, or more to taste;1/2 teaspoon sambal oelek (chile paste), or more to taste;Seasoning Sauce:;1 tablespoon vegetarian oyster sauce;1 tablespoon water;1/2 teaspoon sambal oelek (chile paste) (optional);1/2 teaspoon mushroom seasoning;1/4 teaspoon sesame oil;1/4 teaspoon white sugar;1/4 teaspoon salt;Wraps:;1 tablespoon vegetable oil;2 slices ginger;5 ounces fried tofu, diced;4 ounces jicama, peeled and diced;3 fresh shiitake mushrooms, diced;1/4 teaspoon salt;ground black pepper to taste;1/2 red bell pepper, diced;8 large butterhead lettuce leaves;1 tablespoon toasted sesame seeds, or to taste",4
6,Tofu Recipes,Vegan Tofu Tacos,https://www.allrecipes.com/recipe/246804/vegan-tofu-tacos/,,,,,,,,,,,,0
7,Tofu Recipes,Easy Tofu Salad,https://www.allrecipes.com/recipe/246267/easy-tofu-salad/,,,,,,,,,,,,0
8,Tofu Recipes,Tofu Fruit Julius,https://www.allrecipes.com/recipe/246268/tofu-fruit-julius/,,,,,,,,,,,,0
9,Tofu Recipes,Tofu Parmigiana,https://www.allrecipes.com/recipe/13896/tofu-parmigiana/,,,,,,,,,,,,0
10,Tofu Recipes,Coconut Curry Tofu,https://www.allrecipes.com/recipe/45688/coconut-curry-tofu/,25 m,15 m,40 m,Original recipe yields 6 servings,232  cals,13.2 ,16.9,16.5 ,0 ,680 ,"2 bunches green onions;1 (14 ounce) can light coconut milk;1/4 cup soy sauce, divided;1/2 teaspoon brown sugar;1 1/2 teaspoons curry powder;1 teaspoon minced fresh ginger;2 teaspoons chile paste;1 pound firm tofu, cut into 3/4 inch cubes;4 roma (plum) tomatoes, chopped;1 yellow bell pepper, thinly sliced;4 ounces fresh mushrooms, chopped;1/4 cup chopped fresh basil;4 cups chopped bok choy;salt to taste",3
11,Tofu Recipes,Baked Tofu Bites,https://www.allrecipes.com/recipe/86313/baked-tofu-bites/,,,,,,,,,,,,0
12,Tofu Recipes,Tofu and Veggies in Peanut Sauce,https://www.allrecipes.com/recipe/25312/tofu-and-veggies-in-peanut-sauce/,,,,,,,,,,,,0
13,Tofu Recipes,Hot and Spicy Tofu,https://www.allrecipes.com/recipe/59967/hot-and-spicy-tofu/,,,,,,,,,,,,0
14,Tofu Recipes,Crispy Barbequed Tofu Slices,https://www.allrecipes.com/recipe/72616/crispy-barbequed-tofu-slices/,,,,,,,,,,,,0
15,Tofu Recipes,Thai Curry Tofu,https://www.allrecipes.com/recipe/73737/thai-curry-tofu/,,,,,,,,,,,,0
16,Tofu Recipes,Tofu Lasagna,https://www.allrecipes.com/recipe/25345/tofu-lasagna/,,,,,,,,,,,,0
17,Tofu Recipes,Spinach Chickpea Curry,https://www.allrecipes.com/recipe/22271/spinach-chickpea-curry/,5 m,15 m,20 m,Original recipe yields 4 servings,346  cals,12.3 ,44.7,21.7 ,0 ,849 ,"1 tablespoon vegetable oil;1 onion, chopped;1 (14.75 ounce) can creamed corn;1 tablespoon curry paste;salt to taste;ground black pepper to taste;1/2 teaspoon garlic powder, or to taste;1 (15 ounce) can garbanzo beans (chickpeas), drained and rinsed;1 (12 ounce) package firm tofu, cubed;1 bunch fresh spinach, stems removed;1 teaspoon dried basil or to taste",2
18,Tofu Recipes,"Breaded, Fried, Softly Spiced Tofu",https://www.allrecipes.com/recipe/88768/breaded-fried-softly-spiced-tofu/,,,,,,,,,,,,0
19,Tofu Recipes,Coconut Tofu Keema,https://www.allrecipes.com/recipe/104820/coconut-tofu-keema/,,,,,,,,,,,,0
20,Tofu Recipes,Tofu Peanut Stir-Fry,https://www.allrecipes.com/recipe/84406/tofu-peanut-stir-fry/,,,,,,,,,,,,0
21,Tofu Recipes,Barbecue Tofu Sandwiches,https://www.allrecipes.com/recipe/14047/barbecue-tofu-sandwiches/,,,,,,,,,,,,0
22,Tofu Recipes,Orange Beef-Style Tofu Stir-Fry,https://www.allrecipes.com/recipe/84886/orange-beef-style-tofu-stir-fry/,,,,,,,,,,,,0
23,Tofu Recipes,Vegan Lasagna I,https://www.allrecipes.com/recipe/14069/vegan-lasagna-i/,30 m,2 h,2 h 30 m,Original recipe yields 8 servings,511  cals,15.8 ,69.9,32.5 ,0 ,1074 ,"2 tablespoons olive oil;1 1/2 cups chopped onion;3 tablespoons minced garlic;4 (14.5 ounce) cans stewed tomatoes;1/3 cup tomato paste;1/2 cup chopped fresh basil;1/2 cup chopped parsley;1 teaspoon salt;1 teaspoon ground black pepper;1 (16 ounce) package lasagna noodles;2 pounds firm tofu;2 tablespoons minced garlic;1/4 cup chopped fresh basil;1/4 cup chopped parsley;1/2 teaspoon salt;ground black pepper to taste;3 (10 ounce) packages frozen chopped spinach, thawed and drained",7
24,Tofu Recipes,Eggless Tofu Spinach Quiche,https://www.allrecipes.com/recipe/24710/eggless-tofu-spinach-quiche/,,,,,,,,,,,,0
25,Tofu Recipes,Tofu Tacos I,https://www.allrecipes.com/recipe/14045/tofu-tacos-i/,,,,Original recipe yields 8 servings (8 to 10 tacos),278  cals,18.3 ,20.2,11 ,15 ,382 ,"1 (16 ounce) package garden herb tofu, crumbled;2 tablespoons vegetable oil;1 clove garlic, minced;1/2 cup chopped onion;2 teaspoons chili powder;1/4 teaspoon paprika;1/4 teaspoon cayenne pepper;1/4 teaspoon ground cumin;1/4 teaspoon salt;1/2 lime, juiced;1/2 cup tomato sauce;1/4 cup chopped fresh cilantro;10 medium taco shells, heated;2 cups shredded lettuce;2 tomatoes, chopped;1 avocado - peeled, pitted and diced;1 cup shredded Cheddar cheese;1/4 cup salsa",2
