,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
0,Ground Turkey,Zucchini Ranch Meatloaf,https://www.allrecipes.com/recipe/215766/zucchini-ranch-meatloaf/,20 m,1 h,1 h 20 m,Original recipe yields 8 servings,343  cals,18.6 ,16.6,26.9 ,114 ,702 ,"1 pound ground beef;1 pound ground turkey;3/4 cup shredded zucchini;1/2 cup diced onions;1/2 green bell pepper, diced;1 egg;1 teaspoon Worcestershire sauce;1 cup shredded Cheddar cheese;1 cup plain bread crumbs;1 (1 ounce) package ranch dressing mix;1/4 cup ketchup;1/4 cup steak sauce",3
1,Ground Turkey,Ground Turkey Noodle Bake,https://www.allrecipes.com/recipe/222635/ground-turkey-noodle-bake/,15 m,35 m,50 m,Original recipe yields 6 servings,346  cals,17.4 ,21.5,26.7 ,109 ,625 ,"3 cups wide egg noodles;1 pound ground turkey;1 onion, chopped;1 (15 ounce) can tomato sauce;1 teaspoon Italian seasoning;1/2 cup milk;4 ounces cream cheese;1 tablespoon minced fresh parsley;1 clove garlic, minced;1 1/4 cups shredded part-skim mozzarella cheese",6
2,Ground Turkey,Five-Spice Turkey and Lettuce Wraps,https://www.allrecipes.com/recipe/115605/five-spice-turkey-and-lettuce-wraps/,30 m,,,Original recipe yields 4 servings (4 - 1 1/4 cup servings),312  cals,12.1 ,26.7,26.6 ,84 ,523 ,"1/2 cup water;1/2 cup instant brown rice;2 teaspoons sesame oil;1 pound 93%-lean ground turkey;1 tablespoon minced fresh ginger;1 large red bell pepper, finely diced;1 (8 ounce) can water chestnuts, rinsed and chopped;1/2 cup reduced-sodium chicken broth;2 tablespoons hoisin sauce (see Note);1 teaspoon five-spice powder (see Note);1/2 teaspoon salt;2 heads Boston lettuce, leaves separated;1/2 cup chopped fresh herbs, such as cilantro, basil, mint and/or chives;1 large carrot, shredded",3
3,Ground Turkey,Cameron's Ground Turkey Salsa Ranchera for Tacos and Burritos,https://www.allrecipes.com/recipe/262536/camerons-ground-turkey-salsa-ranchera-for-tacos-and-burritos/,5 m,30 m,40 m,Original recipe yields 4 servings,234  cals,12 ,2.7,28.7 ,105 ,356 ,1 teaspoon canola oil;1 1/4 pounds lean ground turkey;1 (7 ounce) can salsa ranchera (such as HERDEZ®),3
4,Ground Turkey,Big-Batch Turkey-Lentil Joes,https://www.allrecipes.com/recipe/262308/big-batch-turkey-lentil-joes/,15 m,45 m,1 h,Original recipe yields 12 servings (6 3/4 cups),196  cals,5.4 ,21.9,16.3 ,29 ,275 ,"1 (32 ounce) carton low-sodium chicken broth;1 1/2 cups brown lentils;1 tablespoon olive oil;1 cup chopped yellow onion;1/2 cup chopped carrot;1 pound ground turkey;3 cloves garlic, minced;1 (15 ounce) can crushed fire-roasted tomatoes;1/3 cup chopped pimiento-stuffed green olives;3 tablespoons mild chili powder;3 tablespoons tomato paste;2 tablespoons cider vinegar",3
5,Ground Turkey,"Stuffed Red Peppers with Quinoa, Mushrooms, and Turkey",https://www.allrecipes.com/recipe/261962/stuffed-red-peppers-with-quinoa-mushrooms-and-turkey/,30 m,1 h 30 m,2 h,Original recipe yields 8 servings (8 stuffed peppers),389  cals,17.4 ,34.6,25.8 ,71 ,850 ,"2 cups water;1 cup uncooked quinoa;1 tablespoon olive oil;1 onion, diced;1 pound ground turkey;salt and ground black pepper to taste;12 mushrooms, chopped, or more to taste;1 (24 ounce) jar tomato sauce, or more to taste;1 (6 ounce) can tomato paste;8 large red bell peppers - tops, seeds, and membranes removed;1 (8 ounce) package shredded Cheddar cheese, or to taste",6
6,Ground Turkey,Ground Turkey Burritos That Will Fool Your Kids,https://www.allrecipes.com/recipe/261943/ground-turkey-burritos-that-will-fool-your-kids/,20 m,1 h,1 h 20 m,Original recipe yields 12 servings (12 burritos),401  cals,13.4 ,55.1,15.9 ,28 ,542 ,"water to cover;1 cup uncooked brown rice;1 head red cabbage;1/4 cup olive oil;1/2 red onion, chopped;1 stalk celery, finely chopped;1 clove garlic, minced;1 pound ground turkey;sea salt to taste;1 (8 ounce) can crushed tomatoes;12 (10 inch) flour tortillas",5
7,Ground Turkey,Turkey Bolognese with Penne ,https://www.allrecipes.com/recipe/261951/turkey-bolognese-with-penne/,15 m,35 m,50 m,Original recipe yields 6 servings,365  cals,13.3 ,37.5,24.4 ,62 ,678 ,"2 tablespoons olive oil;1 pound ground turkey;3/4 cup chopped carrots;1/2 cup chopped onion;1/2 cup chopped celery;4 cloves garlic, minced;1 tablespoon ground thyme;1 pinch red pepper flakes;1/4 cup dry white wine;2 cups tomato sauce;1/2 cup tomato juice;2 tablespoons dried parsley;1 (8 ounce) package penne pasta;1/2 cup grated Parmesan cheese;salt and ground black pepper to taste",2
8,Ground Turkey,Turkey Vegetable Soup with Red Potatoes,https://www.allrecipes.com/recipe/261968/turkey-vegetable-soup-with-red-potatoes/,20 m,48 m,1 h 8 m,Original recipe yields 8 servings (1 pot of soup ),356  cals,7.8 ,50.1,24.6 ,67 ,1217 ,"1 1/2 pounds ground turkey;2 onions, chopped;1/2 tablespoon minced garlic;5 cups chicken broth;3 large red potatoes, chopped;8 carrots, sliced;1 (15.5 ounce) can corn, drained;6 stalks celery, sliced;1 cup frozen peas;1 cup frozen green beans;2 tablespoons tomato paste;1 tablespoon Worcestershire sauce;1 tablespoon soy sauce;1 1/2 teaspoons dried basil;2 bay leaves;salt and ground black pepper to taste",2
9,Ground Turkey,"Awesome Sausage, Apple and Cranberry Stuffing",https://www.allrecipes.com/recipe/13651/awesome-sausage-apple-and-cranberry-stuffing/,15 m,25 m,1 h 40 m,Original recipe yields 10 servings,235  cals,11.6 ,21.7,12.5 ,80 ,548 ,"1 1/2 cups cubed whole wheat bread;3 3/4 cups cubed white bread;1 pound ground turkey sausage;1 cup chopped onion;3/4 cup chopped celery;2 1/2 teaspoons dried sage;1 1/2 teaspoons dried rosemary;1/2 teaspoon dried thyme;1 Golden Delicious apple, cored and chopped;3/4 cup dried cranberries;1/3 cup minced fresh parsley;1 cooked turkey liver, finely chopped;3/4 cup turkey stock;4 tablespoons unsalted butter, melted",3
10,Ground Turkey,Actually Delicious Turkey Burgers,https://www.allrecipes.com/recipe/39748/actually-delicious-turkey-burgers/,15 m,15 m,30 m,Original recipe yields 12 servings (12 burgers),183  cals,9.5 ,2.3,20.9 ,90 ,354 ,"3 pounds ground turkey;1/4 cup seasoned bread crumbs;1/4 cup finely diced onion;2 egg whites, lightly beaten;1/4 cup chopped fresh parsley;1 clove garlic, peeled and minced;1 teaspoon salt;1/4 teaspoon ground black pepper",2
11,Ground Turkey,Turkey and Quinoa Meatloaf,https://www.allrecipes.com/recipe/213211/turkey-and-quinoa-meatloaf/,30 m,50 m,1 h 20 m,Original recipe yields 5 servings,259  cals,11 ,15.2,25.3 ,121 ,968 ,"1/4 cup quinoa;1/2 cup water;1 teaspoon olive oil;1 small onion, chopped;1 large clove garlic, chopped;1 (20 ounce) package ground turkey;1 tablespoon tomato paste;1 tablespoon hot pepper sauce;2 tablespoons Worcestershire sauce;1 egg;1 1/2 teaspoons salt;1 teaspoon ground black pepper;2 tablespoons brown sugar;2 teaspoons Worcestershire sauce;1 teaspoon water",5
