,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
0,Cake Recipes,Nana's Old Fashioned Jelly Cake,https://www.allrecipes.com/recipe/70594/nanas-old-fashioned-jelly-cake/,15 m,35 m,50 m,Original recipe yields 10 servings,662  cals,21.1 ,113.4,7.2 ,77 ,724 ,"1 cup margarine, softened;2 cups white sugar;4 eggs;3 cups self-rising flour;1 cup whole milk;1 teaspoon vanilla extract;2 cups raspberry jelly",3
1,Cake Recipes,Blueberry Muffin Cake,https://www.allrecipes.com/recipe/274331/blueberry-muffin-cake/,15 m,30 m,45 m,Original recipe yields 9 servings,293  cals,12.3 ,42.4,4 ,35 ,344 ,"cooking spray;1 cup blueberries;1 1/2 cups all-purpose flour, divided;1/2 cup white sugar;1/4 cup vegetable oil;1/2 cup milk;1 egg;1 teaspoon vanilla extract;3 teaspoons baking powder;1/2 teaspoon salt;Topping:;1/2 cup brown sugar;1/3 cup all-purpose flour;2 teaspoons cinnamon;1/4 cup butter",5
2,Cake Recipes,Slow Cooker Peach Upside Down Cake,https://www.allrecipes.com/recipe/256823/slow-cooker-peach-upside-down-cake/,30 m,2 h,3 h,Original recipe yields 8 servings,654  cals,27.2 ,100.8,6.8 ,114 ,486 ,"3 (15 ounce) cans sliced peaches in heavy syrup, drained well;5 tablespoons butter, melted;2/3 cup packed light brown sugar;1 teaspoon cinnamon;1/2 teaspoon nutmeg;1 1/2 sticks butter, softened;1 cup white sugar;2 large eggs;1/2 teaspoon pure almond extract;2 cups flour;2 teaspoons baking powder;1/2 teaspoon salt;1 cup whole milk",7
3,Cake Recipes,Grandma's Skillet Pineapple Upside-Down Cake,https://www.allrecipes.com/recipe/273774/grandmas-skillet-pineapple-upside-down-cake/,15 m,45 m,1 h 10 m,Original recipe yields 12 servings (1 cake),465  cals,16.7 ,77.2,3.5 ,73 ,340 ,1 stick butter;1 1/2 cups packed brown sugar;1 (20 ounce) can sliced pineapple;1 (4 ounce) jar cherries;1 1/2 cups all-purpose flour;2 1/2 teaspoons baking powder;1/2 teaspoon salt;1 1/2 cups white sugar;1/2 cup butter;2 eggs;1 cup milk;2 teaspoons vanilla extract,6
4,Cake Recipes,Banana Split Cupcakes,https://www.allrecipes.com/recipe/274288/banana-split-cupcakes/,30 m,15 m,1 h,Original recipe yields 12 servings (12 cupcakes),563  cals,24.3 ,86.3,3.3 ,64 ,227 ,"Cupcakes:;1 1/2 cups all-purpose flour;1 teaspoon ground cinnamon;1/2 teaspoon baking soda;1/2 teaspoon ground nutmeg;1/4 teaspoon salt;3/4 cup white sugar;1/4 cup shortening;2 mashed ripe bananas;1/4 cup buttermilk;1 egg;1/2 teaspoon vanilla extract;Buttercream Frosting:;1 cup butter, softened;5 cups confectioners' sugar;2 tablespoons milk, or as needed;1 teaspoon vanilla extract;1 tablespoon cocoa;1 tablespoon strawberry jam;Ganache:;1/4 cup heavy cream;1/4 cup chopped semisweet chocolate;1/2 teaspoon butter;1/4 teaspoon instant coffee granules;12 dried banana chips",8
5,Cake Recipes,Plum Kuchen,https://www.allrecipes.com/recipe/233232/plum-kuchen/,15 m,35 m,50 m,Original recipe yields 12 servings,232  cals,5.6 ,43.5,3.1 ,31 ,153 ,"Batter:;1/2 cup white sugar;2 tablespoons margarine;2 eggs, beaten;1 cup all-purpose flour;1 teaspoon baking powder;1/4 teaspoon salt;1 teaspoon vanilla extract;10 Italian plums, halved and pitted;Topping:;1 cup white sugar;1/2 cup all-purpose flour;3 tablespoons margarine, melted;1/2 teaspoon ground cinnamon",4
6,Cake Recipes,Red Velvet Strawberry Cake,https://www.allrecipes.com/recipe/272783/red-velvet-strawberry-cake/,40 m,30 m,2 h 20 m,Original recipe yields 10 servings (1 9-inch layer cake),820  cals,49.3 ,85.9,10.2 ,143 ,479 ,"Cake:;3 cups all-purpose flour;1 1/2 tablespoons unsweetened cocoa powder;1 teaspoon baking soda;1/2 teaspoon salt;1/2 cup unsalted butter, softened;1 1/2 cups white sugar;1 cup vegetable oil;4 eggs, separated;1 1/2 tablespoons vanilla extract;1 teaspoon white vinegar;1 drop food coloring, or as desired;1 cup buttermilk;Frosting:;1 cup white sugar;1/4 cup all-purpose flour;1/4 teaspoon salt;1 1/2 cups whole milk;1 tablespoon lemon juice;1 teaspoon vanilla extract;5 ounces cream cheese;1/2 cup butter, softened;7 fresh strawberries, sliced",9
7,Cake Recipes,Spiced Orange Olive Oil Cake,https://www.allrecipes.com/recipe/256811/spiced-orange-olive-oil-cake/,15 m,45 m,1 h 10 m,Original recipe yields 10 servings (1 loaf cake),292  cals,17.1 ,30.2,4.5 ,74 ,145 ,4 eggs;3/4 cup white sugar;2/3 cup extra-virgin olive oil;2 tablespoons fresh orange zest;1 teaspoon Chinese five-spice powder;1 1/2 cups all-purpose flour;1 tablespoon baking powder;1 pinch salt,3
8,Cake Recipes,Nutella® Cream Cheese Pound Cake,https://www.allrecipes.com/recipe/268910/nutella-cream-cheese-pound-cake/,15 m,50 m,1 h 5 m,Original recipe yields 12 servings (1 9x5-inch loaf),216  cals,9.4 ,28.8,4.8 ,53 ,94 ,"1 1/4 cups all-purpose flour;3/4 teaspoon baking powder;1/2 cup white sugar;1/2 cup cream cheese, at room temperature;1/2 cup full fat plain yogurt, at room temperature;3 eggs, at room temperature;1/2 teaspoon vanilla bean paste;3/4 cup chocolate-hazelnut spread (such as Nutella®)",5
9,Cake Recipes,Too Much Chocolate Cake,https://www.allrecipes.com/recipe/7565/too-much-chocolate-cake/,,,,Original recipe yields 12 servings (1 12 cup Bundt cake),600  cals,38.6 ,60.9,7.6 ,79 ,550 ,1 (18.25 ounce) package devil's food cake mix;1 (5.9 ounce) package instant chocolate pudding mix;1 cup sour cream;1 cup vegetable oil;4 eggs;1/2 cup warm water;2 cups semisweet chocolate chips,3
10,Cake Recipes,Chantal's New York Cheesecake,https://www.allrecipes.com/recipe/8350/chantals-new-york-cheesecake/,30 m,1 h,7 h 30 m,Original recipe yields 12 servings (1 9-inch springform pan),533  cals,35.7 ,44.2,10.3 ,159 ,380 ,"15 graham crackers, crushed;2 tablespoons butter, melted;4 (8 ounce) packages cream cheese;1 1/2 cups white sugar;3/4 cup milk;4 eggs;1 cup sour cream;1 tablespoon vanilla extract;1/4 cup all-purpose flour",4
